Code,Reg,Dep,PopulationTotal,Level
78443,11,78,936.000000000003,Municipality
78444,11,78,825.999999999999,Municipality
78451,11,78,1042.0,Municipality
78455,11,78,7550.0,Municipality
78460,11,78,1076.0,Municipality
78464,11,78,1004.0,Municipality
78465,11,78,2370.0,Municipality
78466,11,78,6263.00000000002,Municipality
78470,11,78,898.0,Municipality
78472,11,78,334.0,Municipality
78474,11,78,876.0,Municipality
78475,11,78,364.0,Municipality
78478,11,78,259.000000000001,Municipality
78481,11,78,16072.0,Municipality
78484,11,78,632.0,Municipality
78486,11,78,6723.99999999999,Municipality
78490,11,78,31419.0,Municipality
78497,11,78,930.999999999996,Municipality
78498,11,78,37388.0,Municipality
78499,11,78,636.0,Municipality
78501,11,78,3203.0,Municipality
78502,11,78,5532.0,Municipality
78505,11,78,419.0,Municipality
78506,11,78,870.0,Municipality
78513,11,78,2180.00000000001,Municipality
78516,11,78,952.0,Municipality
78517,11,78,26736.0,Municipality
78518,11,78,107.0,Municipality
78520,11,78,1452.0,Municipality
78522,11,78,906.0,Municipality
78528,11,78,391.000000000001,Municipality
78530,11,78,368.0,Municipality
78531,11,78,6433.0,Municipality
78536,11,78,377.999999999998,Municipality
78537,11,78,6001.00000000001,Municipality
78545,11,78,18795.0,Municipality
78548,11,78,518.0,Municipality
78550,11,78,1869.0,Municipality
78551,11,78,44753.0,Municipality
78557,11,78,920.0,Municipality
78558,11,78,395.000000000001,Municipality
78559,11,78,427.0,Municipality
78561,11,78,451.999999999999,Municipality
78562,11,78,1378.0,Municipality
78564,11,78,642.0,Municipality
78565,11,78,305.999999999999,Municipality
78567,11,78,975.000000000004,Municipality
78569,11,78,938.999999999999,Municipality
78571,11,78,4911.0,Municipality
78575,11,78,7862.0,Municipality
78576,11,78,1568.0,Municipality
78586,11,78,51967.0,Municipality
78588,11,78,937.0,Municipality
78590,11,78,491.0,Municipality
78591,11,78,2348.0,Municipality
78597,11,78,678.0,Municipality
78601,11,78,1641.0,Municipality
78605,11,78,1034.0,Municipality
78606,11,78,35.0,Municipality
78608,11,78,124.0,Municipality
78609,11,78,1024.0,Municipality
78615,11,78,1058.0,Municipality
78616,11,78,1415.0,Municipality
78618,11,78,529.000000000001,Municipality
78620,11,78,1170.0,Municipality
78621,11,78,32584.0,Municipality
78623,11,78,929.999999999998,Municipality
78624,11,78,11892.0,Municipality
78638,11,78,4927.0,Municipality
78640,11,78,22036.0,Municipality
78642,11,78,15577.0,Municipality
78643,11,78,10048.0,Municipality
78644,11,78,6715.00000000001,Municipality
78646,11,78,85862.0,Municipality
78647,11,78,831.0,Municipality
78650,11,78,15889.0,Municipality
78653,11,78,398.0,Municipality
78655,11,78,682.000000000003,Municipality
78668,11,78,640.0,Municipality
78672,11,78,5282.0,Municipality
78674,11,78,10947.0,Municipality
78677,11,78,523.000000000002,Municipality
78681,11,78,794.0,Municipality
78683,11,78,2838.0,Municipality
78686,11,78,16129.0,Municipality
78688,11,78,11088.0,Municipality
91001,11,91,303.0,Municipality
91016,11,91,4270.0,Municipality
91017,11,91,1673.0,Municipality
91021,11,91,10378.0,Municipality
91022,11,91,152.0,Municipality
91027,11,91,34347.0,Municipality
91035,11,91,373.0,Municipality
91037,11,91,324.0,Municipality
91038,11,91,1283.00000000001,Municipality
91041,11,91,984.999999999997,Municipality
91044,11,91,4581.0,Municipality
91045,11,91,7597.0,Municipality
91047,11,91,1315.0,Municipality
91064,11,91,4639.00000000001,Municipality
91067,11,91,120.0,Municipality
91069,11,91,389.0,Municipality
91075,11,91,77.0,Municipality
91079,11,91,526.0,Municipality
91080,11,91,1319.0,Municipality
